leak_ID,facility_ID,emission_rate_g_per_sec,lat,lon,status,days_active,date_began,date_tagged,date_repaired
ABRAND00762_0000006617,ABRAND00762,0.564585889,52.19,-114.64,active,26,2020-05-27 16:00,,
ABRAND00182_0000006687,ABRAND00182,0.564585889,54.95,-118.88,active,5,2020-06-17 16:00,,
ABRAND00075_0000006684,ABRAND00075,0.564585889,57.6,-119.57,active,6,2020-06-16 16:00,,
ABRAND01025_0000006657,ABRAND01025,0.510965444,55.63,-113.44,active,15,2020-06-07 16:00,,
ABRAND01066_0000006563,ABRAND01066,0.434572222,51.74,-112.68,active,43,2020-05-10 16:00,,
ABRAND00381_0000006523,ABRAND00381,0.374189556,53.25,-116.03,active,53,2020-04-30 16:00,2020-06-19 16:00,
ABRAND00479_0000006582,ABRAND00479,0.374189556,53.68,-115.78,active,39,2020-05-14 16:00,,
ABRAND00252_0000006496,ABRAND00252,0.374189556,53.78,-117.83,active,60,2020-04-23 16:00,2020-06-12 16:00,
ABRAND00179_0000006587,ABRAND00179,0.243062111,54.72,-118.9,active,38,2020-05-15 16:00,,
ABRAND00687_0000006611,ABRAND00687,0.243062111,52.91,-115.04,active,29,2020-05-24 16:00,,
ABRAND00599_0000006646,ABRAND00599,0.243062111,52.84,-115.33,active,17,2020-06-05 16:00,,
ABRAND00039_0000006574,ABRAND00039,0.220647333,55,-119.79,active,41,2020-05-12 16:00,,
ABRAND00472_0000006662,ABRAND00472,0.201235778,53.69,-115.81,active,13,2020-06-09 16:00,,
ABRAND00705_0000006601,ABRAND00705,0.201235778,52.14,-114.95,active,33,2020-05-20 16:00,,
ABRAND00356_0000006695,ABRAND00356,0.162034778,53.25,-116.12,active,3,2020-06-19 16:00,,
ABRAND00284_0000006525,ABRAND00284,0.153482556,54.16,-117.41,active,53,2020-04-30 16:00,2020-06-19 16:00,
ABRAND01161_0000006666,ABRAND01161,0.153482556,55.39,-110.45,active,12,2020-06-10 16:00,,
ABRAND00432_0000006602,ABRAND00432,0.153482556,53.8,-115.9,active,33,2020-05-20 16:00,,
ABRAND01157_0000006570,ABRAND01157,0.153482556,54.71,-110.48,active,42,2020-05-11 16:00,,
ABRAND00493_0000006651,ABRAND00493,0.139142667,52.48,-115.74,active,16,2020-06-06 16:00,,
ABRAND00255_0000006579,ABRAND00255,0.136716222,54.05,-117.75,active,39,2020-05-14 16:00,,
ABRAND00298_0000006562,ABRAND00298,0.132281,54.12,-117.09,active,43,2020-05-10 16:00,,
ABRAND00479_0000006692,ABRAND00479,0.132281,53.68,-115.78,active,4,2020-06-18 16:00,,
ABRAND00660_0000006586,ABRAND00660,0.119870333,52.87,-115.13,active,38,2020-05-15 16:00,,
ABRAND00644_0000006621,ABRAND00644,0.116190889,52.97,-115.17,active,25,2020-05-28 16:00,,
ABRAND00569_0000006631,ABRAND00569,0.114758889,52.79,-115.47,active,22,2020-05-31 23:39,,
ABRAND00769_0000006585,ABRAND00769,0.114758889,52.53,-114.62,active,38,2020-05-15 16:00,,
ABRAND00794_0000006538,ABRAND00794,0.113426333,52.64,-114.52,active,49,2020-05-04 16:00,,
ABRAND00901_0000006555,ABRAND00901,0.111417556,55.52,-114.25,active,45,2020-05-08 16:00,,
ABRAND00396_0000006677,ABRAND00396,0.106763556,53.19,-116,active,8,2020-06-14 16:00,,
ABRAND00874_0000006647,ABRAND00874,0.105192333,52.86,-114.31,active,17,2020-06-05 16:00,,
ABRAND00884_0000006696,ABRAND00884,0.105192333,52.33,-114.28,active,3,2020-06-19 16:00,,
ABRAND00183_0000006540,ABRAND00183,0.103143778,54.42,-118.87,active,49,2020-05-04 16:00,,
ABRAND00510_0000006509,ABRAND00510,0.094750667,53.87,-115.69,active,56,2020-04-27 16:00,2020-06-16 16:00,
ABRAND01029_0000006609,ABRAND01029,0.092960667,52.02,-113.37,active,30,2020-05-23 16:00,,
ABRAND00446_0000006671,ABRAND00446,0.089937556,52.97,-115.87,active,10,2020-06-12 16:00,,
ABRAND00404_0000006699,ABRAND00404,0.077328,53.12,-115.98,active,2,2020-06-20 16:00,,
ABRAND00240_0000006501,ABRAND00240,0.071301667,54.2,-118.42,active,58,2020-04-25 16:00,2020-06-14 16:00,
ABRAND00479_0000006688,ABRAND00479,0.071301667,53.68,-115.78,active,5,2020-06-17 16:00,,
ABRAND00589_0000006675,ABRAND00589,0.071301667,53.01,-115.38,active,8,2020-06-14 16:00,,
ABRAND01106_0000006489,ABRAND01106,0.071301667,55.03,-111.09,active,63,2020-04-20 16:00,2020-06-09 16:00,
ABRAND00319_0000006656,ABRAND00319,0.071301667,53.3,-116.3,active,15,2020-06-07 16:00,,
ABRAND00688_0000006664,ABRAND00688,0.067741556,53.15,-115.03,active,12,2020-06-10 16:00,,
ABRAND00346_0000006598,ABRAND00346,0.064817889,53.11,-116.19,active,34,2020-05-19 16:22,,
ABRAND00279_0000006667,ABRAND00279,0.064817889,54.11,-117.5,active,12,2020-06-10 16:00,,
ABRAND00540_0000006600,ABRAND00540,0.062033444,53.74,-115.59,active,34,2020-05-19 16:22,,
ABRAND00296_0000006516,ABRAND00296,0.061436778,53.99,-117.1,active,55,2020-04-28 16:00,2020-06-17 16:00,
ABRAND00517_0000006535,ABRAND00517,0.061436778,54.11,-115.64,active,50,2020-05-03 16:00,2020-06-22 16:00,
ABRAND00425_0000006543,ABRAND00425,0.061257778,53.68,-115.91,active,48,2020-05-05 16:00,,
ABRAND00988_0000006637,ABRAND00988,0.061257778,52.69,-114.02,active,20,2020-06-02 23:11,,
ABRAND01076_0000006596,ABRAND01076,0.061257778,52.95,-112.2,active,35,2020-05-18 16:00,2020-06-16 8:16,
ABRAND00170_0000006568,ABRAND00170,0.052208333,55.34,-118.96,active,42,2020-05-11 16:00,,
ABRAND00494_0000006531,ABRAND00494,0.051711111,52.89,-115.73,active,51,2020-05-02 16:00,2020-06-21 16:00,
ABRAND00035_0000006672,ABRAND00035,0.051571889,55.35,-119.82,active,10,2020-06-12 16:00,,
ABRAND00892_0000006679,ABRAND00892,0.048568667,52.55,-114.27,active,7,2020-06-15 16:00,,
ABRAND00868_0000006513,ABRAND00868,0.048568667,52.93,-114.33,active,55,2020-04-28 16:00,2020-06-17 16:00,
ABRAND00613_0000006653,ABRAND00613,0.048051556,53.2,-115.28,active,15,2020-06-07 16:00,,
ABRAND00070_0000006678,ABRAND00070,0.047892444,55.14,-119.59,active,8,2020-06-14 16:00,,
ABRAND00747_0000006616,ABRAND00747,0.047892444,52.21,-114.69,active,26,2020-05-27 16:00,,
ABRAND01025_0000006539,ABRAND01025,0.047256,55.63,-113.44,active,49,2020-05-04 16:00,,
ABRAND00077_0000006673,ABRAND00077,0.047256,57.41,-119.56,active,10,2020-06-12 16:00,,
ABRAND00951_0000006644,ABRAND00951,0.045764333,52.7,-114.14,active,18,2020-06-04 16:00,,
ABRAND00354_0000006643,ABRAND00354,0.044590889,53.02,-116.13,active,18,2020-06-04 16:00,,
ABRAND00539_0000006545,ABRAND00539,0.044471556,52.88,-115.59,active,47,2020-05-06 16:00,2020-06-21 8:18,
ABRAND00791_0000006492,ABRAND00791,0.044471556,52.62,-114.53,active,62,2020-04-21 17:08,2020-06-10 16:00,
ABRAND00613_0000006520,ABRAND00613,0.044471556,53.2,-115.28,active,54,2020-04-29 16:00,2020-06-18 16:00,
ABRAND00748_0000006595,ABRAND00748,0.044471556,53.03,-114.69,active,36,2020-05-17 16:00,,
ABRAND00048_0000006504,ABRAND00048,0.044093667,55.26,-119.71,active,57,2020-04-26 16:00,2020-06-15 16:00,
ABRAND00796_0000006634,ABRAND00796,0.042104778,52.18,-114.51,active,21,2020-06-01 23:59,,
ABRAND00640_0000006606,ABRAND00640,0.040533556,53.04,-115.18,active,31,2020-05-22 16:00,,
ABRAND00382_0000006571,ABRAND00382,0.039757889,52.99,-116.03,active,42,2020-05-11 16:00,,
ABRAND00874_0000006632,ABRAND00874,0.039678333,52.86,-114.31,active,22,2020-05-31 23:39,,
ABRAND00494_0000006660,ABRAND00494,0.036794444,52.89,-115.73,active,13,2020-06-09 16:00,,
ABRAND00526_0000006558,ABRAND00526,0.036356889,52.9,-115.62,active,44,2020-05-09 16:00,,
ABRAND01063_0000006547,ABRAND01063,0.035959111,50.3,-112.77,active,47,2020-05-06 16:00,,
ABRAND00716_0000006565,ABRAND00716,0.035223222,52.13,-114.88,active,43,2020-05-10 16:00,,
ABRAND00179_0000006697,ABRAND00179,0.035223222,54.72,-118.9,active,3,2020-06-19 16:00,,
ABRAND00980_0000006514,ABRAND00980,0.034387889,52.66,-114.04,active,55,2020-04-28 16:00,2020-06-17 16:00,
ABRAND00886_0000006521,ABRAND00886,0.034387889,52.15,-114.28,active,54,2020-04-29 16:00,2020-06-18 16:00,
ABRAND00489_0000006566,ABRAND00489,0.034208889,52.72,-115.75,active,42,2020-05-11 16:00,,
ABRAND00740_0000006551,ABRAND00740,0.033831,52.29,-114.75,active,46,2020-05-07 16:00,,
ABRAND00468_0000006693,ABRAND00468,0.033115,53.07,-115.82,active,4,2020-06-18 16:00,,
ABRAND00432_0000006524,ABRAND00432,0.033115,53.8,-115.9,active,53,2020-04-30 16:00,2020-06-19 16:00,
ABRAND00907_0000006670,ABRAND00907,0.030648778,52.53,-114.24,active,10,2020-06-12 16:00,2020-06-12 10:30,
ABRAND00317_0000006519,ABRAND00317,0.030648778,53.27,-116.32,active,54,2020-04-29 16:00,2020-06-18 16:00,
ABRAND00016_0000006498,ABRAND00016,0.029932778,57.3,-119.9,active,60,2020-04-23 16:00,2020-06-12 16:00,
ABRAND00142_0000006569,ABRAND00142,0.029336111,55.08,-119.17,active,42,2020-05-11 16:00,,
ABRAND00681_0000006591,ABRAND00681,0.028441111,52.79,-115.06,active,37,2020-05-16 16:00,,
ABRAND00597_0000006624,ABRAND00597,0.027924,53.29,-115.34,active,23,2020-05-30 23:21,,
ABRAND00709_0000006674,ABRAND00709,0.027924,52.72,-114.93,active,9,2020-06-13 16:00,,
ABRAND00615_0000006652,ABRAND00615,0.027864333,52.91,-115.27,active,15,2020-06-07 16:00,,
ABRAND00410_0000006665,ABRAND00410,0.027864333,53.04,-115.96,active,12,2020-06-10 16:00,,
ABRAND00557_0000006620,ABRAND00557,0.027844444,53.82,-115.53,active,25,2020-05-28 16:00,,
ABRAND00931_0000006607,ABRAND00931,0.027009111,52.49,-114.19,active,31,2020-05-22 16:00,,
ABRAND00048_0000006580,ABRAND00048,0.025895333,55.26,-119.71,active,39,2020-05-14 16:00,,
ABRAND00493_0000006619,ABRAND00493,0.025895333,52.48,-115.74,active,25,2020-05-28 16:00,,
ABRAND00421_0000006638,ABRAND00421,0.023628,53.19,-115.92,active,20,2020-06-02 23:11,,
ABRAND01093_0000006635,ABRAND01093,0.021818111,55.92,-111.38,active,21,2020-06-01 23:59,,
ABRAND00257_0000006553,ABRAND00257,0.020883333,54.08,-117.71,active,46,2020-05-07 16:00,,
ABRAND00036_0000006641,ABRAND00036,0.018735333,54.89,-119.82,active,19,2020-06-03 23:27,,
ABRAND00648_0000006683,ABRAND00648,0.018456889,52.74,-115.16,active,6,2020-06-16 16:00,,
ABRAND00851_0000006661,ABRAND00851,0.017661333,52.85,-114.36,active,13,2020-06-09 16:00,,
ABRAND00817_0000006650,ABRAND00817,0.017184,53.01,-114.45,active,17,2020-06-05 16:00,,
ABRAND00677_0000006542,ABRAND00677,0.017084556,52.67,-115.06,active,48,2020-05-05 16:00,,
ABRAND01110_0000006608,ABRAND01110,0.017084556,55.36,-110.99,active,30,2020-05-23 16:00,,
ABRAND00517_0000006700,ABRAND00517,0.017084556,54.11,-115.64,active,2,2020-06-20 16:00,,
ABRAND00487_0000006530,ABRAND00487,0.016985111,53.65,-115.76,active,52,2020-05-01 16:00,2020-06-20 16:00,
ABRAND00296_0000006522,ABRAND00296,0.016985111,53.99,-117.1,active,54,2020-04-29 16:00,2020-06-18 16:00,
ABRAND00142_0000006517,ABRAND00142,0.016010556,55.08,-119.17,active,55,2020-04-28 16:00,2020-06-17 16:00,
ABRAND00997_0000006654,ABRAND00997,0.015314444,52.91,-113.96,active,15,2020-06-07 16:00,,
ABRAND00357_0000006584,ABRAND00357,0.015314444,53.23,-116.12,active,38,2020-05-15 16:00,,
ABRAND00352_0000006685,ABRAND00352,0.014817222,53,-116.14,active,6,2020-06-16 16:00,,
ABRAND00630_0000006603,ABRAND00630,0.014817222,52.83,-115.21,active,32,2020-05-21 16:00,2020-06-17 12:38,
ABRAND01015_0000006590,ABRAND01015,0.013922222,55.51,-113.8,active,37,2020-05-16 16:00,,
ABRAND00922_0000006618,ABRAND00922,0.012907889,52.7,-114.21,active,26,2020-05-27 16:00,,
ABRAND00146_0000006561,ABRAND00146,0.012907889,54.43,-119.15,active,44,2020-05-09 16:00,,
ABRAND00057_0000006648,ABRAND00057,0.012907889,56.03,-119.68,active,17,2020-06-05 16:00,,
ABRAND00402_0000006512,ABRAND00402,0.012848222,53.13,-115.98,active,55,2020-04-28 16:00,2020-06-17 16:00,
ABRAND00279_0000006588,ABRAND00279,0.012609556,54.11,-117.5,active,38,2020-05-15 16:00,,
ABRAND00083_0000006534,ABRAND00083,0.012589667,55.43,-119.55,active,50,2020-05-03 16:00,2020-06-22 16:00,
ABRAND00401_0000006515,ABRAND00401,0.012589667,53.42,-115.98,active,55,2020-04-28 16:00,2020-06-17 16:00,
ABRAND01014_0000006682,ABRAND01014,0.012569778,52.88,-113.8,active,7,2020-06-15 16:00,,
ABRAND01141_0000006578,ABRAND01141,0.012569778,55.11,-110.65,active,40,2020-05-13 16:00,,
ABRAND00361_0000006541,ABRAND00361,0.012569778,53.42,-116.11,active,48,2020-05-05 16:00,,
ABRAND00624_0000006548,ABRAND00624,0.012490222,53.01,-115.25,active,47,2020-05-06 16:00,,
ABRAND00600_0000006486,ABRAND00600,0.012470333,53.09,-115.33,active,63,2020-04-20 16:00,2020-06-09 16:00,
