datetime,active_leaks,new_leaks,cum_repaired_leaks,daily_emissions_kg,total_daily_cost
2015-01-01 0:00,243,3,0,1391.019025,0
2015-01-02 23:39,246,3,0,1441.036494,0
2015-01-03 23:00,249,4,0,1461.198481,0
2015-01-04 23:14,253,5,0,1464.612942,0
2015-01-05 23:34,258,6,0,1475.964692,0
2015-01-06 23:51,264,2,0,1492.952795,0
2015-01-07 23:11,266,4,0,1496.98588,0
2015-01-08 23:16,270,2,0,1631.469582,0
2015-01-09 23:30,272,3,0,1652.643707,0
2015-01-10 23:50,275,2,0,1658.587652,0
2015-01-11 23:33,277,3,0,1660.27684,0
2015-01-12 23:38,280,1,0,1672.427646,0
2015-01-13 23:59,281,3,0,1672.96035,0
2015-01-14 23:17,284,2,0,1694.189464,0
2015-01-15 23:31,286,0,0,1696.047054,0
2015-01-16 23:17,286,4,0,1696.047054,0
2015-01-17 23:57,290,3,0,1699.49932,0
2015-01-18 23:40,293,3,0,1703.006574,0
2015-01-19 23:19,296,3,0,1716.896401,0
2015-01-20 23:04,299,3,0,1838.265275,0
2015-01-21 23:21,302,5,0,1840.219096,0
2015-01-22 23:50,307,4,0,1854.825496,0
2015-01-23 23:04,311,8,0,1863.493105,0
2015-01-24 23:41,319,3,0,1898.974629,0
2015-01-25 23:12,322,5,0,1903.315307,0
2015-01-26 23:30,327,1,0,1917.536785,0
2015-01-27 23:04,328,5,0,1918.344433,0
2015-01-28 23:20,333,1,0,1986.757374,0
2015-01-29 23:57,334,1,0,1987.013416,0
2015-01-30 23:44,335,5,0,1990.608309,0
2015-01-31 23:02,340,3,0,1997.119326,0
2015-02-01 23:49,343,3,0,2003.687051,0
2015-02-02 23:07,346,5,0,2024.873205,0
2015-02-03 23:47,351,3,0,2039.10843,0
2015-02-04 23:28,354,5,0,2043.223998,0
2015-02-05 23:42,359,3,0,2180.149547,0
2015-02-06 23:18,362,3,0,2187.176085,0
2015-02-07 23:36,365,7,0,2197.376507,0
2015-02-08 23:10,372,5,0,2237.382578,0
2015-02-09 23:26,377,3,0,2247.741093,0
2015-02-10 23:40,380,6,0,2260.062021,0
2015-02-11 23:14,386,2,0,2278.466085,0
2015-02-12 23:43,388,5,0,2279.828776,0
2015-02-13 23:48,393,5,0,2297.450968,0
2015-02-14 23:35,398,4,0,2308.501999,0
2015-02-15 23:22,402,3,0,2322.164997,0
2015-02-16 23:53,405,2,0,2334.200671,0
2015-02-17 23:22,407,4,0,2346.346322,0
2015-02-18 23:40,411,7,0,2351.453407,0
2015-02-19 23:52,418,2,0,2380.236607,0
2015-02-20 23:06,420,4,0,2383.618418,0
2015-02-21 23:23,424,1,0,2388.402443,0
2015-02-22 23:04,425,5,0,2402.402248,0
2015-02-23 23:33,430,4,0,2421.919835,0
2015-02-24 23:18,434,3,0,2425.150428,0
2015-02-25 23:49,437,3,0,2434.742536,0
