leak_ID,facility_ID,emission_rate_g_per_sec,lat,lon,status,days_active,date_began,date_tagged,date_repaired
ABRAND00653_0000006488,ABRAND00653,10.053356,52.89,-115.15,active,82,2020-04-01 1:00,,
ABRAND00564_0000006768,ABRAND00564,10.053356,53.03,-115.49,active,0,2020-06-22 1:00,,
ABRAND00194_0000006271,ABRAND00194,10.053356,54.55,-118.8,active,149,2020-01-25 1:00,,
ABRAND00065_0000006761,ABRAND00065,10.053356,55.03,-119.62,active,2,2020-06-20 1:00,,
ABRAND00842_0000006266,ABRAND00842,1.478818444,52.12,-114.38,active,150,2020-01-24 1:00,2020-06-22 1:00,
ABRAND00922_0000006669,ABRAND00922,1.478818444,52.7,-114.21,active,29,2020-05-24 1:00,,
ABRAND00431_0000006595,ABRAND00431,0.721887111,52.99,-115.9,active,52,2020-05-01 1:00,,
ABRAND00532_0000006390,ABRAND00532,0.676639889,54.12,-115.6,active,113,2020-03-01 1:00,,
ABRAND00094_0000006659,ABRAND00094,0.676639889,54.65,-119.51,active,33,2020-05-20 1:00,,
ABRAND00733_0000006500,ABRAND00733,0.676639889,52.15,-114.77,active,79,2020-04-04 1:00,,
ABRAND00021_0000006446,ABRAND00021,0.564585889,57.31,-119.89,active,96,2020-03-18 1:00,,
ABRAND00615_0000006555,ABRAND00615,0.51373,52.91,-115.27,active,64,2020-04-19 1:00,,
ABRAND00357_0000006734,ABRAND00357,0.51373,53.23,-116.12,active,10,2020-06-12 1:00,,
ABRAND00420_0000006509,ABRAND00420,0.51373,52.87,-115.92,active,76,2020-04-07 1:00,,
ABRAND01167_0000006282,ABRAND01167,0.51373,55.26,-110.32,active,145,2020-01-29 1:00,,
ABRAND01166_0000006758,ABRAND01166,0.51373,54.76,-110.4,active,2,2020-06-20 1:00,,
ABRAND01060_0000006437,ABRAND01060,0.434572222,56.07,-112.78,active,99,2020-03-15 1:00,,
ABRAND00303_0000006432,ABRAND00303,0.434572222,54.11,-116.81,active,100,2020-03-14 1:00,,
ABRAND00720_0000006371,ABRAND00720,0.374189556,52.1,-114.84,active,121,2020-02-22 1:00,,
ABRAND00821_0000006668,ABRAND00821,0.374189556,52.46,-114.44,active,31,2020-05-22 1:00,,
ABRAND00580_0000006368,ABRAND00580,0.359730333,53.2,-115.42,active,122,2020-02-21 1:00,,
ABRAND00881_0000006502,ABRAND00881,0.359730333,52.61,-114.29,active,78,2020-04-05 1:00,,
ABRAND00539_0000006321,ABRAND00539,0.359730333,52.88,-115.59,active,133,2020-02-10 1:00,,
ABRAND00918_0000006599,ABRAND00918,0.359730333,52.78,-114.22,active,50,2020-05-03 1:00,,
ABRAND00879_0000006757,ABRAND00879,0.359730333,52.95,-114.3,active,3,2020-06-19 1:00,,
ABRAND00198_0000006353,ABRAND00198,0.32578,54.31,-118.78,active,127,2020-02-16 1:00,,
ABRAND01020_0000006450,ABRAND01020,0.32578,50.2,-113.55,active,96,2020-03-18 1:00,,
ABRAND00623_0000006462,ABRAND00623,0.243062111,53.12,-115.26,active,92,2020-03-22 1:00,,
ABRAND00215_0000006434,ABRAND00215,0.231844778,54.36,-118.7,active,100,2020-03-14 1:00,,
ABRAND00412_0000006518,ABRAND00412,0.231844778,53.18,-115.96,active,74,2020-04-09 1:00,,
ABRAND01045_0000006717,ABRAND01045,0.220647333,56.05,-113.03,active,15,2020-06-07 1:00,,
ABRAND00066_0000006410,ABRAND00066,0.220647333,54.94,-119.61,active,108,2020-03-06 1:00,,
ABRAND00644_0000006731,ABRAND00644,0.220647333,52.97,-115.17,active,11,2020-06-11 1:00,,
ABRAND00565_0000006508,ABRAND00565,0.182102667,53.19,-115.49,active,77,2020-04-06 1:00,,
ABRAND00625_0000006436,ABRAND00625,0.182102667,52.75,-115.24,active,99,2020-03-15 1:00,,
ABRAND00688_0000006652,ABRAND00688,0.177070778,53.15,-115.03,active,34,2020-05-19 1:00,,
ABRAND00066_0000006313,ABRAND00066,0.162034778,54.94,-119.61,active,135,2020-02-08 1:00,,
ABRAND00071_0000006350,ABRAND00071,0.153482556,54.55,-119.58,active,128,2020-02-15 1:00,,
ABRAND00583_0000006616,ABRAND00583,0.149882667,52.68,-115.4,active,44,2020-05-09 1:00,,
ABRAND01005_0000006418,ABRAND01005,0.149882667,52.96,-113.91,active,106,2020-03-08 1:00,,
ABRAND00745_0000006711,ABRAND00745,0.149882667,52.35,-114.72,active,16,2020-06-06 1:00,,
ABRAND00405_0000006670,ABRAND00405,0.142921556,53.06,-115.97,active,29,2020-05-24 1:00,,
ABRAND00233_0000006529,ABRAND00233,0.139142667,54.54,-118.55,active,72,2020-04-11 1:00,,
ABRAND00254_0000006425,ABRAND00254,0.139142667,53.41,-117.78,active,102,2020-03-12 1:00,,
ABRAND00995_0000006469,ABRAND00995,0.13783,52.89,-113.99,active,90,2020-03-24 1:00,,
ABRAND01166_0000006484,ABRAND01166,0.13783,54.76,-110.4,active,83,2020-03-31 1:00,,
ABRAND00025_0000006565,ABRAND00025,0.136716222,55.21,-119.87,active,62,2020-04-21 1:00,,
ABRAND01159_0000006588,ABRAND01159,0.136716222,55.1,-110.47,active,54,2020-04-29 1:00,,
ABRAND00481_0000006290,ABRAND00481,0.136716222,52.74,-115.77,active,143,2020-01-31 1:00,,
ABRAND00541_0000006611,ABRAND00541,0.136716222,52.83,-115.59,active,46,2020-05-07 1:00,,
ABRAND00249_0000006249,ABRAND00249,0.132281,53.58,-117.9,active,156,2020-01-18 1:00,2020-06-16 1:00,
ABRAND00501_0000006363,ABRAND00501,0.132281,52.85,-115.72,active,123,2020-02-20 1:00,,
ABRAND00337_0000006578,ABRAND00337,0.132281,53.16,-116.21,active,57,2020-04-26 1:00,,
ABRAND00502_0000006284,ABRAND00502,0.127269,53.1,-115.71,active,145,2020-01-29 1:00,,
ABRAND00530_0000006575,ABRAND00530,0.127269,52.83,-115.61,active,59,2020-04-24 1:00,,
ABRAND00711_0000006567,ABRAND00711,0.123529889,52.96,-114.9,active,61,2020-04-22 1:00,,
