datetime,active_leaks,new_leaks,cum_repaired_leaks,daily_emissions_kg,total_daily_cost
2015-01-01 1:00,238,3,0,1446.427114,0
2015-01-02 1:00,241,6,0,1460.437229,0
2015-01-03 1:00,247,5,0,1487.581076,0
2015-01-04 1:00,252,0,0,1500.383155,0
2015-01-05 1:00,252,5,0,1500.383155,0
2015-01-06 1:00,257,3,0,1523.885712,0
2015-01-07 1:00,260,2,0,1526.982269,0
2015-01-08 1:00,262,3,0,1531.297171,0
2015-01-09 1:00,265,3,0,1537.148323,0
2015-01-10 1:00,268,6,0,2408.949351,0
2015-01-11 1:00,274,4,0,2418.651437,0
2015-01-12 1:00,278,5,0,2431.077187,0
2015-01-13 1:00,283,1,0,2667.786787,0
2015-01-14 1:00,284,0,0,2668.592717,0
2015-01-15 1:00,284,5,0,2668.592717,0
2015-01-16 1:00,289,1,0,2685.915907,0
2015-01-17 1:00,290,3,0,2686.163357,0
2015-01-18 1:00,293,3,0,2698.504906,0
2015-01-19 1:00,296,3,0,2707.035043,0
2015-01-20 1:00,299,3,0,2716.020557,0
2015-01-21 1:00,302,3,0,2796.51385,0
2015-01-22 1:00,305,1,0,2804.88074,0
2015-01-23 1:00,306,1,0,2805.150528,0
2015-01-24 1:00,307,5,0,2807.925744,0
2015-01-25 1:00,312,5,0,2927.45593,0
2015-01-26 1:00,317,4,0,2932.365399,0
2015-01-27 1:00,321,2,0,2943.789322,0
2015-01-28 1:00,323,5,0,2958.304647,0
2015-01-29 1:00,328,3,0,3037.416346,0
2015-01-30 1:00,331,0,0,3045.680132,0
2015-01-31 1:00,331,2,0,3045.680132,0
2015-02-01 1:00,333,3,0,3048.362554,0
2015-02-02 1:00,336,5,0,3054.57457,0
2015-02-03 1:00,341,6,0,3068.393943,0
2015-02-04 1:00,347,4,0,3083.763312,0
2015-02-05 1:00,351,4,0,3108.180058,0
2015-02-06 1:00,355,3,0,3127.83168,0
2015-02-07 1:00,358,2,0,3139.03393,0
2015-02-08 1:00,360,6,0,3140.437863,0
2015-02-09 1:00,366,1,0,3152.4048,0
2015-02-10 1:00,367,1,0,3160.436602,0
2015-02-11 1:00,368,1,0,3160.709828,0
2015-02-12 1:00,369,1,0,3162.514148,0
2015-02-13 1:00,370,1,0,3167.203661,0
